,Age,RoomService,FoodCourt,ShoppingMall,Spa,VRDeck,Transported,Group,Group_enc,GroupSize,Name,FamilySize,HomePlanet,Destination,VIP,Cabin,CryoSleep,Deck,Side,Deck_enc,Route,Europa,Mars,PSO J318.5-22,TRAPPIST-1e,S
64,0.0,793.0,0.0,2.0,253.0,0.0,0,0068,0.503666427030913,1,Binie0068,1,Mars,TRAPPIST-1e,0,E/4/S,0,E,S,4,MarsTRAPPIST-1e,0,1,0,1,1
65,42.0,887.0,0.0,9.0,6.0,0.0,1,0069,0.503666427030913,1,0069,1,Earth,TRAPPIST-1e,0,F/16/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
66,19.0,190.0,0.0,5.0,1.0,726.0,0,0070,0.5035950532067874,1,Brighttt0070,1,Earth,TRAPPIST-1e,0,F/13/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
67,17.0,16.0,2165.0,0.0,0.0,52.0,0,0071,0.5035950532067874,1,Dillines0071,1,Earth,TRAPPIST-1e,0,F/14/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
68,14.0,0.0,1.0,0.0,0.0,1063.0,0,0072,0.503666427030913,1,Brantuarez0072,1,Earth,TRAPPIST-1e,0,F/17/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
69,37.0,46.0,83.0,738.0,0.0,12.0,0,0073,0.5035950532067874,1,Make0073,1,Mars,PSO J318.5-22,0,D/3/P,0,D,P,3,MarsPSO J318.5-22,0,1,1,0,0
70,42.0,1.0,8397.0,0.0,0.0,506.0,1,0074,0.5035950532067874,1,Mostedry0074,1,Europa,TRAPPIST-1e,0,C/3/S,0,C,S,2,EuropaTRAPPIST-1e,1,0,0,1,1
71,27.0,147.0,0.0,1018.0,0.0,0.0,1,0076,0.5035950532067874,1,Dal0076,1,Mars,TRAPPIST-1e,0,F/18/S,0,F,S,5,MarsTRAPPIST-1e,0,1,0,1,1
72,28.0,14.0,0.0,1295.0,0.0,0.0,1,0077,0.503666427030913,1,Blité0077,1,Mars,TRAPPIST-1e,0,F/15/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
73,38.0,0.0,5840.0,0.0,321.0,9654.0,0,0078,0.5035950532067874,1,Pokerheed0078,1,Europa,TRAPPIST-1e,0,C/4/S,0,C,S,2,EuropaTRAPPIST-1e,1,0,0,1,1
74,13.0,0.0,0.0,0.0,0.0,0.0,0,0081,0.503666427030913,1,Vinozarks0081,1,Earth,TRAPPIST-1e,0,G/13/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
75,42.0,7406.0,0.0,0.0,0.0,0.0,0,0082,0.6081013577948322,3,Datte0082,3,Mars,TRAPPIST-1e,0,F/16/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
76,2.0,0.0,0.0,0.0,0.0,0.0,1,0082,0.502894547655984,3,Datte0082,3,Mars,TRAPPIST-1e,0,F/16/P,1,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
77,8.0,0.0,0.0,0.0,0.0,0.0,1,0082,0.5028381999000954,3,Datte0082,3,Mars,TRAPPIST-1e,0,F/16/P,0,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
78,24.0,688.0,0.0,0.0,0.0,17.0,1,0084,0.503666427030913,1,Coopezmaney0084,1,Earth,TRAPPIST-1e,0,G/14/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
79,40.0,0.0,0.0,0.0,0.0,0.0,1,0085,0.5035950532067874,1,Ellcefulve0085,1,Europa,TRAPPIST-1e,0,C/5/S,1,C,S,2,EuropaTRAPPIST-1e,1,0,0,1,1
80,43.0,211.0,0.0,0.0,638.0,513.0,0,0086,0.503666427030913,1,Kinson0086,1,Earth,TRAPPIST-1e,0,F/17/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
81,45.0,0.0,0.0,0.0,0.0,0.0,1,0088,0.5035950532067874,1,Sacre0088,1,Mars,PSO J318.5-22,0,E/5/S,1,E,S,4,MarsPSO J318.5-22,0,1,1,0,1
82,35.0,0.0,0.0,0.0,0.0,0.0,1,0090,0.5035950532067874,1,Santry0090,1,Earth,TRAPPIST-1e,0,G/15/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
83,26.0,0.0,0.0,0.0,0.0,0.0,1,0091,0.503666427030913,2,Yorkland0091,2,Earth,TRAPPIST-1e,0,G/16/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
84,27.0,1.0,697.0,31.0,188.0,0.0,0,0091,0.503666427030913,2,Yorkland0091,2,Earth,TRAPPIST-1e,0,F/20/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
85,19.0,0.0,0.0,670.0,1.0,34.0,0,0092,0.5620586120860998,3,Dunnisey0092,1,Earth,TRAPPIST-1e,0,G/9/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
86,0.0,0.0,0.0,0.0,0.0,0.0,1,0092,0.5028381999000954,3,Hewson0092,2,Earth,TRAPPIST-1e,0,G/9/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
87,3.0,0.0,0.0,0.0,0.0,0.0,1,0092,0.5620586120860998,3,Hewson0092,2,Earth,TRAPPIST-1e,0,G/9/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
88,54.0,0.0,1208.0,0.0,3.0,637.0,0,0097,0.5035950532067874,1,Fictful0097,1,Europa,TRAPPIST-1e,0,A/2/S,0,A,S,0,EuropaTRAPPIST-1e,1,0,0,1,1
89,26.0,0.0,856.0,5.0,32.0,0.0,0,0098,0.5619956351824595,2,Carezquez0098,2,Earth,TRAPPIST-1e,0,G/11/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
90,26.0,0.0,2811.0,957.0,0.0,87.0,1,0098,0.4444115532625703,2,Carezquez0098,2,Earth,TRAPPIST-1e,0,G/11/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
91,23.0,311.0,427.0,526.0,37.0,0.0,0,0099,0.5035950532067874,2,Leetersoney0099,1,Earth,PSO J318.5-22,0,F/19/P,0,F,P,5,EarthPSO J318.5-22,0,0,1,0,0
92,2.0,0.0,0.0,0.0,0.0,0.0,1,0099,0.5035950532067874,2,Connelson0099,1,Earth,TRAPPIST-1e,0,G/12/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
93,31.0,0.0,0.0,0.0,0.0,0.0,1,0101,0.503666427030913,1,Trad0101,1,Mars,TRAPPIST-1e,0,G/734/S,1,G,S,6,MarsTRAPPIST-1e,0,1,0,1,1
94,18.0,0.0,0.0,0.0,830.0,91.0,0,0102,0.503666427030913,1,Holson0102,1,Earth,TRAPPIST-1e,0,F/23/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
95,24.0,0.0,0.0,0.0,0.0,17.0,1,0103,0.5028381999000954,3,Mclainez0103,3,Earth,TRAPPIST-1e,0,F/24/S,0,F,S,5,EarthTRAPPIST-1e,0,0,0,1,1
96,9.0,0.0,0.0,0.0,0.0,0.0,1,0103,0.5028381999000954,3,Mclainez0103,3,Earth,55 Cancri e,0,G/18/S,1,G,S,6,Earth55 Cancri e,0,0,0,0,1
97,6.0,0.0,0.0,0.0,0.0,0.0,0,0103,0.6081013577948322,3,Mclainez0103,3,Earth,TRAPPIST-1e,0,G/18/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
98,27.0,0.0,0.0,570.0,2.0,131.0,0,0105,0.503666427030913,1,Cleachrand0105,1,Earth,TRAPPIST-1e,0,F/21/P,1,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
99,21.0,1743.0,5.0,17.0,0.0,0.0,0,0107,0.5035950532067874,1,Hart0107,1,Mars,TRAPPIST-1e,0,D/2/S,0,D,S,3,MarsTRAPPIST-1e,0,1,0,1,1
100,23.0,0.0,0.0,0.0,0.0,0.0,0,0108,0.502894547655984,3,Handertiz0108,3,Earth,TRAPPIST-1e,0,G/19/S,1,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
101,31.0,562.0,0.0,326.0,0.0,0.0,0,0108,0.5028381999000954,3,Handertiz0108,3,Earth,TRAPPIST-1e,0,G/19/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
102,0.0,0.0,0.0,0.0,0.0,0.0,1,0108,0.3976313897612471,3,Handertiz0108,3,Earth,TRAPPIST-1e,0,G/19/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
103,32.0,0.0,410.0,6.0,3929.0,764.0,0,0110,0.550186942766753,4,Aloubtled0110,3,Europa,TRAPPIST-1e,0,B/5/P,0,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
104,40.0,0.0,331.0,0.0,0.0,1687.0,0,0110,0.5502379240696997,4,Bootious0110,1,Europa,TRAPPIST-1e,0,B/5/P,1,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
105,42.0,2209.0,11418.0,0.0,1868.0,445.0,1,0110,0.45499982883160456,4,Aloubtled0110,3,Europa,TRAPPIST-1e,0,B/5/P,0,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
106,28.0,0.0,0.0,0.0,0.0,0.0,1,0110,0.4549488475286577,4,Aloubtled0110,3,Europa,TRAPPIST-1e,0,B/5/P,1,B,P,1,EuropaTRAPPIST-1e,1,0,0,1,0
107,29.0,0.0,0.0,0.0,0.0,0.0,1,0111,0.503666427030913,1,Supred0111,1,Europa,TRAPPIST-1e,0,E/6/S,1,E,S,4,EuropaTRAPPIST-1e,1,0,0,1,1
108,48.0,0.0,2537.0,87.0,17.0,13.0,1,0112,0.5035950532067874,1,Cowtale0112,1,Europa,55 Cancri e,1,B/1/S,0,B,S,1,Europa55 Cancri e,1,0,0,0,1
109,64.0,0.0,0.0,804.0,0.0,0.0,1,0113,0.503666427030913,1,Carvis0113,1,Earth,TRAPPIST-1e,0,F/23/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
110,27.0,82.0,157.0,429.0,238.0,1.0,0,0114,0.503666427030913,1,Beckerson0114,1,Earth,TRAPPIST-1e,0,G/20/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
111,26.0,0.0,0.0,0.0,0.0,0.0,1,0115,0.5035950532067874,1,Pead0115,1,Mars,TRAPPIST-1e,0,F/24/P,1,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
112,33.0,1.0,2223.0,0.0,12.0,404.0,1,0116,0.5035950532067874,1,Suptive0116,1,Europa,TRAPPIST-1e,0,D/4/P,0,D,P,3,EuropaTRAPPIST-1e,1,0,0,1,0
113,39.0,0.0,2344.0,0.0,65.0,6898.0,0,0119,0.5619956351824595,2,Coning0119,2,Europa,TRAPPIST-1e,0,A/0/P,0,A,P,0,EuropaTRAPPIST-1e,1,0,0,1,0
114,13.0,0.0,0.0,0.0,0.0,0.0,1,0119,0.4444115532625703,2,Coning0119,2,Europa,TRAPPIST-1e,0,A/0/P,1,A,P,0,EuropaTRAPPIST-1e,1,0,0,1,0
115,24.0,0.0,0.0,0.0,0.0,0.0,1,0120,0.503666427030913,1,Sacre0120,1,Mars,TRAPPIST-1e,0,F/25/P,1,F,P,5,MarsTRAPPIST-1e,0,1,0,1,0
116,29.0,0.0,0.0,0.0,699.0,74.0,0,0122,0.5035950532067874,1,Hayder0122,1,Earth,TRAPPIST-1e,0,G/21/S,0,G,S,6,EarthTRAPPIST-1e,0,0,0,1,1
117,18.0,55.0,597.0,49.0,0.0,1.0,0,0123,0.5035950532067874,1,Fielson0123,1,Earth,TRAPPIST-1e,0,F/27/P,0,F,P,5,EarthTRAPPIST-1e,0,0,0,1,0
118,67.0,0.0,0.0,0.0,0.0,0.0,1,0126,0.5035950532067874,1,Mish0126,1,Mars,TRAPPIST-1e,0,F/27/S,1,F,S,5,MarsTRAPPIST-1e,0,1,0,1,1
119,35.0,701.0,0.0,296.0,0.0,25.0,0,0127,0.503666427030913,1,Mesty0127,1,Mars,TRAPPIST-1e,0,E/7/S,0,E,S,4,MarsTRAPPIST-1e,0,1,0,1,1
120,61.0,2353.0,334.0,9.0,316.0,2.0,0,0128,0.4443485763589301,2,Fles0128,2,Mars,TRAPPIST-1e,1,D/3/S,0,D,S,3,MarsTRAPPIST-1e,0,1,0,1,1
121,45.0,2103.0,6.0,0.0,0.0,0.0,0,0128,0.4443485763589301,2,Fles0128,2,Mars,TRAPPIST-1e,0,E/8/S,0,E,S,4,MarsTRAPPIST-1e,0,1,0,1,1
122,22.0,0.0,0.0,0.0,0.0,0.0,1,0129,0.5035950532067874,1,Fowles0129,1,Earth,PSO J318.5-22,0,G/22/S,1,G,S,6,EarthPSO J318.5-22,0,0,1,0,1
123,19.0,0.0,0.0,0.0,0.0,0.0,1,0133,0.4443485763589301,2,Blie0133,2,Mars,TRAPPIST-1e,0,F/29/S,1,F,S,5,MarsTRAPPIST-1e,0,1,0,1,1
124,36.0,2738.0,0.0,0.0,0.0,0.0,0,0133,0.5619956351824595,2,Blie0133,2,Mars,TRAPPIST-1e,0,D/5/S,0,D,S,3,MarsTRAPPIST-1e,0,1,0,1,1
125,19.0,0.0,14.0,730.0,0.0,0.0,1,0134,0.5035950532067874,1,Harmontry0134,1,Earth,TRAPPIST-1e,0,G/17/P,0,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
126,47.0,97.0,418.0,126.0,25.0,55.0,0,0136,0.503666427030913,1,0136,1,Earth,PSO J318.5-22,0,G/23/S,0,G,S,6,EarthPSO J318.5-22,0,0,1,0,1
127,13.0,0.0,0.0,0.0,0.0,0.0,1,0138,0.4444115532625703,2,Gambs0138,2,Earth,TRAPPIST-1e,0,G/18/P,1,G,P,6,EarthTRAPPIST-1e,0,0,0,1,0
128,34.0,0.0,22.0,0.0,564.0,207.0,0,0138,0.5620586120860998,2,Gambs0138,2,Earth,TRAPPIST-1e,0,E/5/P,0,E,P,4,EarthTRAPPIST-1e,0,0,0,1,0
129,35.0,0.0,0.0,0.0,0.0,0.0,1,0139,0.5035950532067874,1,Myling0139,1,Europa,55 Cancri e,0,C/6/S,1,C,S,2,Europa55 Cancri e,1,0,0,0,1
